f,u,n,d,a,$,COPY	f,u,n,d,a
k,h,u,m,b,h,l,a,$,COPY	k,h,u,m,b,h,l,a
k,h,u,m,b,h,l,a,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,b,h,l,e
k,a,u,e,b,u,l,a,$,COPY	k,a,u,e,b,u,l,a
k,a,u,e,b,u,l,a,$,V,SG,1,PST+RMT	n,g,a,k,a,u,e,b,u,l,a
k,h,m,t,l,u,l,a,$,COPY	k,h,m,t,l,u,l,a
k,h,m,t,l,u,l,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,m,t,l,u,l,a
k,h,c,m,b,u,u,a,$,COPY	k,h,c,m,b,u,u,a
k,h,c,m,b,u,u,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,c,m,b,u,u,a
k,z,d,m,b,u,u,a,$,COPY	k,z,d,m,b,u,u,a
k,z,d,m,b,u,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,z,d,m,b,u,u,a
t,t,e,n,q,a,$,COPY	t,t,e,n,q,a
t,t,e,n,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,t,e,n,q,a
u,d,b,n,n,a,$,COPY	u,d,b,n,n,a
u,d,b,n,n,a,$,V,SG,1,PST+RCT	n,g,i,u,d,b,n,n,e
t,a,f,q,g,a,$,COPY	t,a,f,q,g,a
t,a,f,q,g,a,$,V,SG,1,PST+RMT	n,g,a,t,a,f,q,g,a
t,h,e,q,p,a,$,COPY	t,h,e,q,p,a
t,h,e,q,p,a,$,V,SG,1,PRS	n,g,i,t,h,e,q,p,a
t,h,w,s,g,a,$,COPY	t,h,w,s,g,a
t,h,w,s,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,w,s,g,a
m,w,m,j,$,COPY	m,w,m,j
m,w,m,j,$,V,SG,1,PRS	n,g,i,m,w,m,j
m,e,m,o,$,V,SG,1,PST+RMT	n,g,a,m,e,m,o
m,e,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
m,m,p,a,$,COPY	m,m,p,a
m,m,p,a,$,V,SG,1,PST+RCT	n,g,i,m,m,p,e
h,t,w,a,$,COPY	h,t,w,a
h,t,w,a,$,V,SG,1,FUT	n,g,i,y,o,h,t,w,a
n,p,k,b,a,$,COPY	n,p,k,b,a
n,p,k,b,a,$,V,SG,1,PRS	n,g,i,y,a,n,p,k,b,a
n,q,o,b,h,$,V,SG,1,PST+RMT	n,g,a,n,q,o,b,h
l,q,o,s,y,$,COPY	l,q,o,s,y
l,q,o,s,y,$,V,SG,1,FUT	n,g,i,y,o,l,q,o,s,y
a,o,k,b,a,$,COPY	a,o,k,b,a
a,o,k,b,a,$,V,SG,1,PST+RCT	n,g,i,a,o,k,b,e
j,q,d,e,a,$,COPY	j,q,d,e,a
j,q,d,e,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,q,d,e,a
m,h,s,$,COPY	m,h,s
m,h,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,h,s
z,v,o,$,COPY	z,v,o
z,v,o,$,V,SG,1,PRS	n,g,i,y,a,z,v,o
s,h,o,$,V,SG,1,FUT	n,g,i,y,o,s,h,o
s,h,q,$,COPY	s,h,q
s,h,q,$,V,SG,1,PST+RMT	n,g,a,s,h,q
t,h,a,t,d,a,$,V,SG,1,PRS	n,g,i,t,h,a,t,d,a
t,h,a,t,h,a,$,V,SG,1,PST+RCT	n,g,i,t,h,a,t,h,e
t,h,a,i,h,a,$,COPY	t,h,a,i,h,a
t,h,a,i,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,i,h,a
t,h,a,t,b,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,b,a
t,t,a,t,u,a,$,COPY	t,t,a,t,u,a
t,t,a,t,u,a,$,V,SG,1,FUT	n,g,i,y,o,t,t,a,t,u,a
l,i,n,k,a,$,COPY	l,i,n,k,a
l,i,n,k,a,$,V,SG,1,PST+RCT	n,g,i,l,i,n,k,e
f,i,n,l,v,$,COPY	f,i,n,l,v
f,i,n,l,v,$,V,SG,1,PRS	n,g,i,y,a,f,i,n,l,v
v,i,n,v,h,$,COPY	v,i,n,v,h
v,i,n,v,h,$,V,SG,1,PST+RMT	n,g,a,v,i,n,v,h
l,i,e,d,s,$,COPY	l,i,e,d,s
l,i,e,d,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,e,d,s
l,i,n,k,z,$,COPY	l,i,n,k,z
l,i,n,k,z,$,V,SG,1,FUT	n,g,i,y,o,l,i,n,k,z
d,k,h,u,a,$,COPY	d,k,h,u,a
d,k,h,u,a,$,V,SG,1,PST+RMT	n,g,a,d,k,h,u,a
d,d,e,l,a,$,COPY	d,d,e,l,a
d,d,e,l,a,$,V,SG,1,PST+RCT	n,g,i,d,d,e,l,e
d,l,a,l,z,$,COPY	d,l,a,l,z
d,l,a,l,z,$,V,SG,1,FUT	n,g,i,y,o,d,l,a,l,z
d,t,a,j,y,$,COPY	d,t,a,j,y
d,t,a,j,y,$,V,SG,1,FUT+IMMED	n,g,i,z,o,d,t,a,j,y
a,l,a,l,j,$,COPY	a,l,a,l,j
a,l,a,l,j,$,V,SG,1,PRS	n,g,i,a,l,a,l,j
c,u,l,p,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,u,l,p
z,g,l,a,$,COPY	z,g,l,a
z,g,l,a,$,V,SG,1,PST+RMT	n,g,a,z,g,l,a
c,u,u,a,$,V,SG,1,PRS	n,g,i,c,u,u,a
c,u,i,a,$,COPY	c,u,i,a
c,u,i,a,$,V,SG,1,FUT	n,g,i,y,o,c,u,i,a
c,j,a,a,$,COPY	c,j,a,a
c,j,a,a,$,V,SG,1,PST+RCT	n,g,i,c,j,a,e
s,t,a,l,a,$,COPY	s,t,a,l,a
s,t,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,s,t,a,l,a
k,h,t,z,j,$,COPY	k,h,t,z,j
k,h,t,z,j,$,V,SG,1,PST+RMT	n,g,a,k,h,t,z,j
t,h,b,c,a,$,COPY	t,h,b,c,a
t,h,b,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,b,c,a
l,h,d,l,a,$,COPY	l,h,d,l,a
l,h,d,l,a,$,V,SG,1,PST+RCT	n,g,i,l,h,d,l,e
k,s,a,g,q,$,COPY	k,s,a,g,q
k,s,a,g,q,$,V,SG,1,FUT	n,g,i,y,o,k,s,a,g,q
f,u,n,a,$,V,SG,1,PST+RCT	n,g,i,f,u,n,e
a,m,n,a,$,COPY	a,m,n,a
a,m,n,a,$,V,SG,1,PRS	n,g,i,a,m,n,a
f,n,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,n,n,a
f,m,g,m,$,COPY	f,m,g,m
f,m,g,m,$,V,SG,1,FUT	n,g,i,y,o,f,m,g,m
v,u,n,a,$,V,SG,1,PST+RMT	n,g,a,v,u,n,a
c,a,b,j,n,q,a,$,COPY	c,a,b,j,n,q,a
c,a,b,j,n,q,a,$,V,SG,1,PRS	n,g,i,c,a,b,j,n,q,a
c,a,h,v,c,g,a,$,COPY	c,a,h,v,c,g,a
c,a,h,v,c,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,a,h,v,c,g,a
c,j,d,n,e,g,a,$,COPY	c,j,d,n,e,g,a
c,j,d,n,e,g,a,$,V,SG,1,PST+RCT	n,g,i,c,j,d,n,e,g,e
c,f,b,h,p,g,a,$,COPY	c,f,b,h,p,g,a
c,f,b,h,p,g,a,$,V,SG,1,PST+RMT	n,g,a,c,f,b,h,p,g,a
c,a,b,g,n,g,a,$,COPY	c,a,b,g,n,g,a
c,a,b,g,n,g,a,$,V,SG,1,FUT	n,g,i,y,o,c,a,b,g,n,g,a
j,l,a,l,a, ,p,h,a,n,s,i,$,COPY	j,l,a,l,a, ,p,h,a,n,s,i
j,l,a,l,a, ,p,h,a,n,s,i,$,V,SG,1,PST+RCT	n,g,i,j,l,a,l,e, ,p,h,a,n,s,i
h,i,y,j,a, ,p,c,a,n,s,i,$,COPY	h,i,y,j,a, ,p,c,a,n,s,i
h,i,y,j,a, ,p,c,a,n,s,i,$,V,SG,1,FUT	n,g,i,y,o,h,i,y,j,a, ,p,c,a,n,s,i
c,a,j,l,a, ,p,h,a,n,s,i,$,COPY	c,a,j,l,a, ,p,h,a,n,s,i
c,a,j,l,a, ,p,h,a,n,s,i,$,V,SG,1,PRS	n,g,i,c,a,j,l,a, ,p,h,a,n,s,i
c,l,h,j,l, ,p,f,a,n,o,i,$,COPY	c,l,h,j,l, ,p,f,a,n,o,i
c,l,h,j,l, ,p,f,a,n,o,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,l,h,j,l, ,p,f,a,n,o,i
h,l,a,s,f, ,p,h,a,k,s,i,$,COPY	h,l,a,s,f, ,p,h,a,k,s,i
h,l,a,s,f, ,p,h,a,k,s,i,$,V,SG,1,PST+RMT	n,g,a,h,l,a,s,f, ,p,h,a,k,s,i
n,h,s,l,a,$,COPY	n,h,s,l,a
n,h,s,l,a,$,V,SG,1,FUT	n,g,i,y,o,n,h,s,l,a
t,h,p,y,a,$,COPY	t,h,p,y,a
t,h,p,y,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,p,y,a
z,h,o,l,h,$,COPY	z,h,o,l,h
z,h,o,l,h,$,V,SG,1,PST+RMT	n,g,a,z,h,o,l,h
t,e,b,l,b,$,COPY	t,e,b,l,b
t,e,b,l,b,$,V,SG,1,PRS	n,g,i,t,e,b,l,b
o,i,o,g,a,$,COPY	o,i,o,g,a
o,i,o,g,a,$,V,SG,1,PST+RCT	n,g,i,o,i,o,g,e
l,p,l,f,u,a,$,COPY	l,p,l,f,u,a
l,p,l,f,u,a,$,V,SG,1,PST+RMT	n,g,a,l,p,l,f,u,a
l,a,c,e,l,a,$,COPY	l,a,c,e,l,a
l,a,c,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,c,e,l,a
l,m,l,e,l,a,$,COPY	l,m,l,e,l,a
l,m,l,e,l,a,$,V,SG,1,PRS	n,g,i,l,m,l,e,l,a
l,t,c,e,k,a,$,COPY	l,t,c,e,k,a
l,t,c,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,l,t,c,e,k,a
l,t,n,e,h,a,$,COPY	l,t,n,e,h,a
l,t,n,e,h,a,$,V,SG,1,PST+RCT	n,g,i,l,t,n,e,h,e
b,d,u,e,c,$,COPY	b,d,u,e,c
b,d,u,e,c,$,V,SG,1,FUT	n,g,i,y,o,b,d,u,e,c
f,h,u,m,a,$,COPY	f,h,u,m,a
f,h,u,m,a,$,V,SG,1,PST+RCT	n,g,i,f,h,u,m,e
t,n,k,m,b,$,COPY	t,n,k,m,b
t,n,k,m,b,$,V,SG,1,PST+RMT	n,g,a,t,n,k,m,b
t,g,u,m,y,$,COPY	t,g,u,m,y
t,g,u,m,y,$,V,SG,1,PRS	n,g,i,t,g,u,m,y
t,h,u,j,v,$,COPY	t,h,u,j,v
t,h,u,j,v,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,u,j,v
n,g,e,n,f,$,V,SG,1,FUT+IMMED	n,g,i,z,o,n,g,e,n,f
n,u,w,n,v,$,COPY	n,u,w,n,v
n,u,w,n,v,$,V,SG,1,PST+RMT	n,g,a,n,u,w,n,v
n,g,e,n,a,$,V,SG,1,FUT	n,g,i,y,o,n,g,e,n,a
n,g,e,n,l,$,COPY	n,g,e,n,l
n,g,e,n,l,$,V,SG,1,PRS	n,g,i,n,g,e,n,l
b,c,q,k,a,$,COPY	b,c,q,k,a
b,c,q,k,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,c,q,k,a
i,h,e,d,a,$,COPY	i,h,e,d,a
i,h,e,d,a,$,V,SG,1,PST+RCT	n,g,i,i,h,e,d,e
m,h,a,k,z,$,COPY	m,h,a,k,z
m,h,a,k,z,$,V,SG,1,PRS	n,g,i,m,h,a,k,z
b,n,y,l,a,$,COPY	b,n,y,l,a
b,n,y,l,a,$,V,SG,1,PST+RMT	n,g,a,b,n,y,l,a
y,h,e,k,a,$,COPY	y,h,e,k,a
y,h,e,k,a,$,V,SG,1,FUT	n,g,i,y,o,y,h,e,k,a
t,h,j,n,g,i,s,a,$,COPY	t,h,j,n,g,i,s,a
t,h,j,n,g,i,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,j,n,g,i,s,a
t,h,e,n,j,g,s,a,$,COPY	t,h,e,n,j,g,s,a
t,h,e,n,j,g,s,a,$,V,SG,1,PRS	n,g,i,t,h,e,n,j,g,s,a
t,h,e,q,g,i,o,a,$,COPY	t,h,e,q,g,i,o,a
t,h,e,q,g,i,o,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,e,q,g,i,o,a
t,f,l,l,g,c,s,a,$,COPY	t,f,l,l,g,c,s,a
t,f,l,l,g,c,s,a,$,V,SG,1,PST+RCT	n,g,i,t,f,l,l,g,c,s,e
t,a,e,n,g,o,i,a,$,COPY	t,a,e,n,g,o,i,a
t,a,e,n,g,o,i,a,$,V,SG,1,PST+RMT	n,g,a,t,a,e,n,g,o,i,a
v,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,v,a,l,a
d,f,a,p,$,COPY	d,f,a,p
d,f,a,p,$,V,SG,1,PST+RMT	n,g,a,d,f,a,p
z,a,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,a,l,a
s,f,l,a,$,COPY	s,f,l,a
s,f,l,a,$,V,SG,1,PRS	n,g,i,s,f,l,a
s,u,l,a,$,V,SG,1,PST+RCT	n,g,i,s,u,l,e
b,z,a,$,COPY	b,z,a
b,z,a,$,V,SG,1,PST+RMT	n,g,a,b,z,a
m,d,b,$,COPY	m,d,b
m,d,b,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,d,b
h,d,a,$,V,SG,1,PRS	n,g,i,h,d,a
p,d,s,$,COPY	p,d,s
p,d,s,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,p,d,s
s,q,c,s,n,p,a,$,COPY	s,q,c,s,n,p,a
s,q,c,s,n,p,a,$,V,SG,1,FUT	n,g,i,y,o,s,q,c,s,n,p,a
s,a,j,k,f,l,a,$,COPY	s,a,j,k,f,l,a
s,a,j,k,f,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,a,j,k,f,l,a
s,c,j,e,z,z,a,$,COPY	s,c,j,e,z,z,a
s,c,j,e,z,z,a,$,V,SG,1,PST+RMT	n,g,a,s,c,j,e,z,z,a
s,l,b,n,l,l,a,$,COPY	s,l,b,n,l,l,a
s,l,b,n,l,l,a,$,V,SG,1,PRS	n,g,i,s,l,b,n,l,l,a
s,e,h,b,n,z,a,$,COPY	s,e,h,b,n,z,a
s,e,h,b,n,z,a,$,V,SG,1,PST+RCT	n,g,i,s,e,h,b,n,z,e
c,k,s,a,$,COPY	c,k,s,a
c,k,s,a,$,V,SG,1,PRS	n,g,i,c,k,s,a
z,n,k,a,$,COPY	z,n,k,a
z,n,k,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,z,n,k,a
z,n,s,a,$,COPY	z,n,s,a
z,n,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,z,n,s,a
z,i,j,a,$,V,SG,1,PST+RMT	n,g,a,z,i,j,a
p,i,s,a,$,COPY	p,i,s,a
p,i,s,a,$,V,SG,1,PST+RCT	n,g,i,y,a,p,i,s,e
n,z,e,k,h,$,COPY	n,z,e,k,h
n,z,e,k,h,$,V,SG,1,PRS	n,g,e,n,z,e,k,h
n,z,e,k,t,$,COPY	n,z,e,k,t
n,z,e,k,t,$,V,SG,1,FUT	n,g,i,y,o,k,w,e,n,z,e,k,t
n,q,y,k,a,$,COPY	n,q,y,k,a
n,q,y,k,a,$,V,SG,1,PST+RCT	n,g,e,n,q,y,k,e
n,j,f,k,k,$,COPY	n,j,f,k,k
n,j,f,k,k,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,e,n,j,f,k,k
a,z,q,k,n,$,COPY	a,z,q,k,n
a,z,q,k,n,$,V,SG,1,PST+RMT	n,g,a,a,z,q,k,n
k,h,u,l,u,i,a,$,COPY	k,h,u,l,u,i,a
k,h,u,l,u,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,h,u,l,u,i,a
k,b,f,v,u,m,a,$,COPY	k,b,f,v,u,m,a
k,b,f,v,u,m,a,$,V,SG,1,PST+RCT	n,g,i,k,b,f,v,u,m,e
k,h,u,l,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,u,l,u,m,a
k,l,u,l,b,n,a,$,COPY	k,l,u,l,b,n,a
k,l,u,l,b,n,a,$,V,SG,1,PRS	n,g,i,k,l,u,l,b,n,a
k,m,v,l,p,y,a,$,COPY	k,m,v,l,p,y,a
k,m,v,l,p,y,a,$,V,SG,1,PST+RMT	n,g,a,k,m,v,l,p,y,a
m,y,k,d,c,a,$,COPY	m,y,k,d,c,a
m,y,k,d,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,w,a,m,y,k,d,c,a
m,n,p,e,l,a,$,COPY	m,n,p,e,l,a
m,n,p,e,l,a,$,V,SG,1,PRS	n,g,i,m,n,p,e,l,a
m,j,y,j,l,a,$,COPY	m,j,y,j,l,a
m,j,y,j,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,w,a,m,j,y,j,l,a
m,v,k,p,l,a,$,COPY	m,v,k,p,l,a
m,v,k,p,l,a,$,V,SG,1,PST+RCT	n,g,i,y,a,m,v,k,p,l,e
m,u,e,v,l,a,$,COPY	m,u,e,v,l,a
m,u,e,v,l,a,$,V,SG,1,PST+RMT	n,g,a,m,u,e,v,l,a
s,h,a,y,q,q,a,$,COPY	s,h,a,y,q,q,a
s,h,a,y,q,q,a,$,V,SG,1,FUT	n,g,i,y,o,s,h,a,y,q,q,a
s,e,i,a,e,l,a,$,COPY	s,e,i,a,e,l,a
s,e,i,a,e,l,a,$,V,SG,1,PRS	n,g,i,s,e,i,a,e,l,a
s,h,l,y,e,l,a,$,COPY	s,h,l,y,e,l,a
s,h,l,y,e,l,a,$,V,SG,1,PST+RCT	n,g,i,s,h,l,y,e,l,e
s,s,p,i,e,l,a,$,COPY	s,s,p,i,e,l,a
s,s,p,i,e,l,a,$,V,SG,1,PST+RMT	n,g,a,s,s,p,i,e,l,a
s,h,n,y,e,l,a,$,COPY	s,h,n,y,e,l,a
s,h,n,y,e,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,h,n,y,e,l,a
n,m,v,p,$,COPY	n,m,v,p
n,m,v,p,$,V,SG,1,PRS	n,g,i,n,m,v,p
n,a,o,a,$,V,SG,1,PST+RCT	n,g,i,n,a,o,e
c,c,s,m,$,COPY	c,c,s,m
c,c,s,m,$,V,SG,1,FUT	n,g,i,y,o,c,c,s,m
f,a,o,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,o,a
n,a,v,q,$,COPY	n,a,v,q
n,a,v,q,$,V,SG,1,PST+RMT	n,g,a,n,a,v,q
q,c,l,a,$,V,SG,1,PST+RCT	n,g,i,q,c,l,e
q,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,q,a,l,a
v,a,n,a,$,COPY	v,a,n,a
v,a,n,a,$,V,SG,1,PRS	n,g,i,v,a,n,a
m,a,z,y,$,COPY	m,a,z,y
m,a,z,y,$,V,SG,1,PST+RMT	n,g,a,m,a,z,y
g,w,h,a,$,COPY	g,w,h,a
g,w,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,w,h,a
k,a,k,c,$,COPY	k,a,k,c
k,a,k,c,$,V,SG,1,PRS	n,g,i,k,a,k,c
f,a,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,u,a
f,a,k,a,$,V,SG,1,PST+RCT	n,g,i,f,a,k,e
f,o,k,a,$,COPY	f,o,k,a
f,o,k,a,$,V,SG,1,PST+RMT	n,g,a,f,o,k,a
f,a,k,o,$,COPY	f,a,k,o
f,a,k,o,$,V,SG,1,FUT	n,g,i,y,o,f,a,k,o
a,f,o,k,a,$,COPY	a,f,o,k,a
a,f,o,k,a,$,V,SG,1,PST+RCT	n,g,i,a,f,o,k,e
h,l,e,k,a,$,V,SG,1,PST+RMT	n,g,a,h,l,e,k,a
u,s,e,n,c,$,COPY	u,s,e,n,c
u,s,e,n,c,$,V,SG,1,FUT	n,g,i,y,o,u,s,e,n,c
h,l,w,k,m,$,COPY	h,l,w,k,m
h,l,w,k,m,$,V,SG,1,PRS	n,g,i,y,a,h,l,w,k,m
y,m,e,n,a,$,COPY	y,m,e,n,a
y,m,e,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,y,m,e,n,a
q,e,d,a,$,V,SG,1,PST+RMT	n,g,a,q,e,d,a
q,e,u,g,$,COPY	q,e,u,g
q,e,u,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,e,u,g
a,k,d,i,$,COPY	a,k,d,i
a,k,d,i,$,V,SG,1,FUT	n,g,i,y,o,a,k,d,i
q,e,i,a,$,V,SG,1,PRS	n,g,i,q,e,i,a
q,e,m,a,$,V,SG,1,PST+RCT	n,g,i,q,e,m,e
o,l,j,z,h,$,COPY	o,l,j,z,h
o,l,j,z,h,$,V,SG,1,PST+RMT	n,g,a,o,l,j,z,h
p,y,i,l,a,$,COPY	p,y,i,l,a
p,y,i,l,a,$,V,SG,1,PST+RCT	n,g,i,p,y,i,l,e
p,h,z,l,a,$,COPY	p,h,z,l,a
p,h,z,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,z,l,a
p,h,i,l,p,$,COPY	p,h,i,l,p
p,h,i,l,p,$,V,SG,1,FUT	n,g,i,y,o,p,h,i,l,p
p,h,d,l,u,$,COPY	p,h,d,l,u
p,h,d,l,u,$,V,SG,1,PRS	n,g,i,y,a,p,h,d,l,u
f,a,d,t,$,COPY	f,a,d,t
f,a,d,t,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,a,d,t
l,c,p,a,$,COPY	l,c,p,a
l,c,p,a,$,V,SG,1,FUT	n,g,i,y,o,l,c,p,a
j,a,l,f,$,COPY	j,a,l,f
j,a,l,f,$,V,SG,1,PST+RMT	n,g,a,j,a,l,f
l,a,l,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
l,v,l,a,$,COPY	l,v,l,a
l,v,l,a,$,V,SG,1,PST+RCT	n,g,i,l,v,l,e
g,d,j,k,m,a,$,COPY	g,d,j,k,m,a
g,d,j,k,m,a,$,V,SG,1,PST+RCT	n,g,i,g,d,j,k,m,e
g,i,j,l,m,a,$,COPY	g,i,j,l,m,a
g,i,j,l,m,a,$,V,SG,1,PRS	n,g,i,y,a,g,i,j,l,m,a
g,i,j,i,i,a,$,COPY	g,i,j,i,i,a
g,i,j,i,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,i,j,i,i,a
g,i,j,i,m,a,$,V,SG,1,PST+RMT	n,g,a,g,i,j,i,m,a
g,f,p,u,m,a,$,COPY	g,f,p,u,m,a
g,f,p,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,g,f,p,u,m,a
b,n,v,t,a,$,COPY	b,n,v,t,a
b,n,v,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,n,v,t,a
o,b,e,l,a,$,COPY	o,b,e,l,a
o,b,e,l,a,$,V,SG,1,PST+RCT	n,g,i,o,b,e,l,e
b,d,b,t,a,$,COPY	b,d,b,t,a
b,d,b,t,a,$,V,SG,1,PRS	n,g,i,b,d,b,t,a
b,h,a,l,a,$,V,SG,1,PST+RMT	n,g,a,b,h,a,l,a
b,t,f,f,a,$,COPY	b,t,f,f,a
b,t,f,f,a,$,V,SG,1,FUT	n,g,i,y,o,b,t,f,f,a
d,l,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,d,l,a
f,u,h,$,COPY	f,u,h
f,u,h,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,f,u,h
d,l,a,$,V,SG,1,PRS	n,g,i,d,l,a
d,g,a,$,V,SG,1,PST+RMT	n,g,a,d,g,a
p,b,k,v,a,y,u,j,a,$,COPY	p,b,k,v,a,y,u,j,a
p,b,k,v,a,y,u,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,b,k,v,a,y,u,j,a
p,h,e,f,a,m,k,l,a,$,COPY	p,h,e,f,a,m,k,l,a
p,h,e,f,a,m,k,l,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,e,f,a,m,k,l,a
p,h,e,j,a,z,u,l,a,$,COPY	p,h,e,j,a,z,u,l,a
p,h,e,j,a,z,u,l,a,$,V,SG,1,PST+RCT	n,g,i,p,h,e,j,a,z,u,l,e
p,h,z,f,u,m,t,v,a,$,COPY	p,h,z,f,u,m,t,v,a
p,h,z,f,u,m,t,v,a,$,V,SG,1,PST+RMT	n,g,a,p,h,z,f,u,m,t,v,a
p,h,e,f,u,i,v,z,a,$,COPY	p,h,e,f,u,i,v,z,a
p,h,e,f,u,i,v,z,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,e,f,u,i,v,z,a
p,h,c,d,a,$,COPY	p,h,c,d,a
p,h,c,d,a,$,V,SG,1,PST+RMT	n,g,a,p,h,c,d,a
p,o,d,q,n,$,COPY	p,o,d,q,n
p,o,d,q,n,$,V,SG,1,PRS	n,g,i,p,o,d,q,n
p,b,c,l,a,$,COPY	p,b,c,l,a
p,b,c,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,b,c,l,a
f,h,u,u,l,$,COPY	f,h,u,u,l
f,h,u,u,l,$,V,SG,1,FUT	n,g,i,y,o,f,h,u,u,l
l,h,u,z,a,$,COPY	l,h,u,z,a
l,h,u,z,a,$,V,SG,1,PST+RCT	n,g,i,l,h,u,z,e
b,h,w,w,t,a,$,COPY	b,h,w,w,t,a
b,h,w,w,t,a,$,V,SG,1,PST+RCT	n,g,i,b,h,w,w,t,e
t,h,i,v,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,i,v,t,a
t,h,c,n,s,a,$,COPY	t,h,c,n,s,a
t,h,c,n,s,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,c,n,s,a
t,e,i,z,w,a,$,COPY	t,e,i,z,w,a
t,e,i,z,w,a,$,V,SG,1,PST+RMT	n,g,a,t,e,i,z,w,a
t,h,c,n,t,a,$,COPY	t,h,c,n,t,a
t,h,c,n,t,a,$,V,SG,1,PRS	n,g,i,t,h,c,n,t,a
l,b,u,l,e,n,e,l,w,a,$,COPY	l,b,u,l,e,n,e,l,w,a
l,b,u,l,e,n,e,l,w,a,$,V,SG,1,PST+RCT	n,g,i,l,b,u,l,e,n,e,l,w,e
l,a,h,t,e,k,p,j,u,a,$,COPY	l,a,h,t,e,k,p,j,u,a
l,a,h,t,e,k,p,j,u,a,$,V,SG,1,PRS	n,g,i,l,a,h,t,e,k,p,j,u,a
l,a,h,l,y,k,e,l,w,a,$,COPY	l,a,h,l,y,k,e,l,w,a
l,a,h,l,y,k,e,l,w,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,h,l,y,k,e,l,w,a
l,a,f,l,e,k,e,l,w,a,$,COPY	l,a,f,l,e,k,e,l,w,a
l,a,f,l,e,k,e,l,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,f,l,e,k,e,l,w,a
l,a,h,w,e,b,e,q,s,a,$,COPY	l,a,h,w,e,b,e,q,s,a
l,a,h,w,e,b,e,q,s,a,$,V,SG,1,PST+RMT	n,g,a,l,a,h,w,e,b,e,q,s,a
m,n,a,$,COPY	m,n,a
m,n,a,$,V,SG,1,PRS	n,g,i,m,n,a
