s,e,k,a,$,COPY	s,e,k,a
p,a,a,o,z,a,$,COPY	p,a,a,o,z,a
p,a,a,o,z,a,$,V,SG,3,FUT	a,c,h,a,p,a,a,o,z,a
p,a,r,u,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,a,r,u,r,a
p,f,w,s,r,a,$,COPY	p,f,w,s,r,a
p,f,w,s,r,a,$,V,SG,3,PST	a,k,a,p,f,w,s,r,a
p,a,r,g,r,a,$,COPY	p,a,r,g,r,a
p,a,r,g,r,a,$,V,SG,1,PRS	n,d,i,n,o,p,a,r,g,r,a
p,a,r,u,k,a,$,COPY	p,a,r,u,k,a
p,a,r,u,k,a,$,V,PL,2,FUT	m,u,c,h,a,p,a,r,u,k,a
p,p,r,f,p,a,$,COPY	p,p,r,f,p,a
p,p,r,f,p,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,p,r,f,p,a
p,a,a,u,r,a,$,COPY	p,a,a,u,r,a
p,a,a,u,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,a,a,u,r,a
p,g,r,u,h,a,$,COPY	p,g,r,u,h,a
p,g,r,u,h,a,$,V,PL,1,PRS	t,i,n,o,p,g,r,u,h,a
p,a,t,u,t,a,$,COPY	p,a,t,u,t,a
p,a,t,u,t,a,$,V,PL,3,PST	v,a,k,a,p,a,t,u,t,a
m,c,h,p,a,a,$,COPY	m,c,h,p,a,a
m,c,h,p,a,a,$,V,PL,1,FUT	t,i,c,h,a,m,c,h,p,a,a
m,c,v,r,r,a,$,V,SG,1,PRS	n,d,i,n,o,m,c,v,r,r,a
m,t,o,i,r,a,$,COPY	m,t,o,i,r,a
m,t,o,i,r,a,$,V,SG,3,PST	a,k,a,m,t,o,i,r,a
m,e,r,i,r,a,$,COPY	m,e,r,i,r,a
m,e,r,i,r,a,$,V,PL,2,PRS	m,u,n,o,m,e,r,i,r,a
m,i,n,i,r,a,$,COPY	m,i,n,i,r,a
m,i,n,i,r,a,$,V,SG,3,FUT	a,c,h,a,m,i,n,i,r,a
m,i,r,w,r,a,$,COPY	m,i,r,w,r,a
m,i,r,w,r,a,$,V,PL,1,HOD	t,a,m,i,r,w,r,a
m,i,r,d,r,a,$,V,SG,2,FUT	u,c,h,a,m,i,r,d,r,a
m,i,w,z,e,a,$,COPY	m,i,w,z,e,a
m,i,w,z,e,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,m,i,w,z,e,a
m,i,r,e,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,m,i,r,e,r,a
m,i,i,c,z,a,$,COPY	m,i,i,c,z,a
m,i,i,c,z,a,$,V,PL,3,PRS	v,a,n,o,m,i,i,c,z,a
m,y,r,o,n,a,$,COPY	m,y,r,o,n,a
m,y,r,o,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,m,y,r,o,n,a
m,o,r,a,k,a,$,COPY	m,o,r,a,k,a
m,o,r,a,k,a,$,V,PL,2,FUT	m,u,c,h,a,m,o,r,a,k,a
m,i,r,c,r,a,$,COPY	m,i,r,c,r,a
m,i,r,c,r,a,$,V,SG,1,PST	n,d,a,k,a,m,i,r,c,r,a
m,i,e,i,r,a,$,COPY	m,i,e,i,r,a
m,i,e,i,r,a,$,V,SG,2,HOD	w,a,m,i,e,i,r,a
m,p,f,i,r,a,$,COPY	m,p,f,i,r,a
m,p,f,i,r,a,$,V,PL,3,PST	v,a,k,a,m,p,f,i,r,a
m,i,r,i,k,a,$,COPY	m,i,r,i,k,a
m,i,r,i,k,a,$,V,PL,3,FUT	v,a,c,h,a,m,i,r,i,k,a
m,v,s,w,r,a,$,COPY	m,v,s,w,r,a
m,v,s,w,r,a,$,V,SG,1,HOD	n,d,a,m,v,s,w,r,a
m,i,u,i,r,a,$,COPY	m,i,u,i,r,a
m,i,u,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,m,i,u,i,r,a
m,d,e,f,p,a,$,COPY	m,d,e,f,p,a
m,d,e,f,p,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,m,d,e,f,p,a
m,o,c,i,n,a,$,COPY	m,o,c,i,n,a
m,o,c,i,n,a,$,V,PL,1,PRS	t,i,n,o,m,o,c,i,n,a
m,i,s,i,r,a,$,COPY	m,i,s,i,r,a
m,i,s,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,m,i,s,i,r,a
m,i,m,e,r,a,$,COPY	m,i,m,e,r,a
m,i,m,e,r,a,$,V,SG,3,HOD	a,m,i,m,e,r,a
m,i,h,i,w,a,$,COPY	m,i,h,i,w,a
m,i,h,i,w,a,$,V,SG,2,PRS	u,n,o,m,i,h,i,w,a
m,i,r,i,u,a,$,COPY	m,i,r,i,u,a
m,i,r,i,u,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,m,i,r,i,u,a
m,u,r,o,n,a,$,COPY	m,u,r,o,n,a
m,u,r,o,n,a,$,V,PL,3,HOD	v,a,m,u,r,o,n,a
m,i,r,i,r,a,$,V,PL,2,HOD	m,a,m,i,r,i,r,a
m,g,r,m,z,a,$,COPY	m,g,r,m,z,a
m,g,r,m,z,a,$,V,PL,2,PST	m,a,k,a,m,g,r,m,z,a
m,r,r,i,d,a,$,COPY	m,r,r,i,d,a
m,r,r,i,d,a,$,V,SG,2,PST	w,a,k,a,m,r,r,i,d,a
m,i,r,k,r,a,$,V,PL,1,PST	t,a,k,a,m,i,r,k,r,a
m,i,r,w,r,a,$,V,SG,3,PRS	a,n,o,m,i,r,w,r,a
s,w,d,p,$,COPY	s,w,d,p
s,w,d,p,$,V,SG,1,HOD	n,d,a,s,w,d,p
u,e,k,a,$,COPY	u,e,k,a
u,e,k,a,$,V,PL,1,FUT	t,i,c,h,a,u,e,k,a
h,h,z,e,$,COPY	h,h,z,e
h,h,z,e,$,V,PL,3,FUT	v,a,c,h,a,h,h,z,e
s,e,k,r,$,V,SG,2,PST	w,a,k,a,s,e,k,r
z,e,k,s,$,COPY	z,e,k,s
z,e,k,s,$,V,SG,1,PRS	n,d,i,n,o,z,e,k,s
s,z,k,k,$,COPY	s,z,k,k
s,z,k,k,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,s,z,k,k
n,o,k,a,$,COPY	n,o,k,a
n,o,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,n,o,k,a
s,a,k,a,$,V,PL,1,PRS	t,i,n,o,s,a,k,a
c,v,w,k,$,COPY	c,v,w,k
c,v,w,k,$,V,PL,3,PRS	v,a,n,o,c,v,w,k
e,e,k,z,$,COPY	e,e,k,z
e,e,k,z,$,V,SG,2,FUT	u,c,h,a,e,e,k,z
w,g,v,a,$,COPY	w,g,v,a
w,g,v,a,$,V,PL,3,PST	v,a,k,a,w,g,v,a
m,m,g,a,$,COPY	m,m,g,a
m,m,g,a,$,V,PL,2,PRS	m,u,n,o,m,m,g,a
s,n,k,v,$,COPY	s,n,k,v
s,n,k,v,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,s,n,k,v
i,u,k,s,$,COPY	i,u,k,s
i,u,k,s,$,V,PL,2,FUT	m,u,c,h,a,i,u,k,s
s,m,t,p,$,COPY	s,m,t,p
s,m,t,p,$,V,SG,2,HOD	w,a,s,m,t,p
s,w,k,t,$,COPY	s,w,k,t
s,w,k,t,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,s,w,k,t
s,e,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,s,e,k,a
s,e,e,a,$,V,SG,3,PRS	a,n,o,s,e,e,a
t,g,a,k,$,COPY	t,g,a,k
t,g,a,k,$,V,SG,3,FUT	a,c,h,a,t,g,a,k
m,e,e,g,$,COPY	m,e,e,g
m,e,e,g,$,V,PL,2,HOD	m,a,m,e,e,g
v,n,k,a,$,COPY	v,n,k,a
v,n,k,a,$,V,PL,1,PST	t,a,k,a,v,n,k,a
s,e,z,a,$,COPY	s,e,z,a
s,e,z,a,$,V,SG,3,HOD	a,s,e,z,a
f,h,w,s,$,COPY	f,h,w,s
f,h,w,s,$,V,SG,1,PST	n,d,a,k,a,f,h,w,s
s,n,k,e,$,COPY	s,n,k,e
s,n,k,e,$,V,PROG,SG,2,PRS	u,r,i,k,u,s,n,k,e
b,m,k,s,$,COPY	b,m,k,s
b,m,k,s,$,V,SG,2,PRS	u,n,o,b,m,k,s
h,e,k,w,$,COPY	h,e,k,w
h,e,k,w,$,V,SG,3,PST	a,k,a,h,e,k,w
g,e,k,a,$,V,PL,2,PST	m,a,k,a,g,e,k,a
v,f,k,a,$,COPY	v,f,k,a
v,f,k,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,v,f,k,a
s,e,k,y,$,COPY	s,e,k,y
s,e,k,y,$,V,PL,3,HOD	v,a,s,e,k,y
h,c,c,c,$,COPY	h,c,c,c
h,c,c,c,$,V,PL,1,HOD	t,a,h,c,c,c
d,g,n,h,a,$,V,PL,3,PST	v,a,k,a,d,g,n,h,a
b,o,e,z,o,$,COPY	b,o,e,z,o
b,o,e,z,o,$,V,PL,3,PRS	v,a,n,o,b,o,e,z,o
v,a,m,h,a,$,COPY	v,a,m,h,a
v,a,m,h,a,$,V,PL,2,FUT	m,u,c,h,a,v,a,m,h,a
z,o,n,h,a,$,COPY	z,o,n,h,a
z,o,n,h,a,$,V,SG,3,PRS	a,n,o,z,o,n,h,a
z,o,n,d,a,$,COPY	z,o,n,d,a
z,o,n,d,a,$,V,PL,1,PST	t,a,k,a,z,o,n,d,a
d,f,n,b,i,$,COPY	d,f,n,b,i
d,f,n,b,i,$,V,SG,1,HOD	n,d,a,d,f,n,b,i
v,o,g,h,v,$,COPY	v,o,g,h,v
v,o,g,h,v,$,V,PL,3,HOD	v,a,v,o,g,h,v
d,p,p,k,a,$,COPY	d,p,p,k,a
d,p,p,k,a,$,V,SG,1,PRS	n,d,i,n,o,d,p,p,k,a
c,b,n,g,c,$,COPY	c,b,n,g,c
c,b,n,g,c,$,V,PL,1,HOD	t,a,c,b,n,g,c
d,o,n,h,k,$,V,PL,1,FUT	t,i,c,h,a,d,o,n,h,k
d,c,n,h,w,$,COPY	d,c,n,h,w
d,c,n,h,w,$,V,PL,2,PST	m,a,k,a,d,c,n,h,w
r,o,n,w,a,$,COPY	r,o,n,w,a
r,o,n,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,o,n,w,a
d,a,n,h,a,$,V,PL,1,PRS	t,i,n,o,d,a,n,h,a
c,o,i,h,s,$,COPY	c,o,i,h,s
c,o,i,h,s,$,V,SG,3,FUT	a,c,h,a,c,o,i,h,s
d,o,h,e,k,$,COPY	d,o,h,e,k
d,o,h,e,k,$,V,SG,2,PRS	u,n,o,d,o,h,e,k
d,m,n,s,z,$,COPY	d,m,n,s,z
d,m,n,s,z,$,V,SG,1,PST	n,d,a,k,a,d,m,n,s,z
d,o,n,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,o,n,z,a
d,o,n,h,m,$,COPY	d,o,n,h,m
d,o,n,h,m,$,V,PL,2,HOD	m,a,d,o,n,h,m
z,v,n,g,a,$,COPY	z,v,n,g,a
z,v,n,g,a,$,V,SG,2,HOD	w,a,z,v,n,g,a
d,o,n,e,a,$,COPY	d,o,n,e,a
d,o,n,e,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,o,n,e,a
d,o,h,u,a,$,COPY	d,o,h,u,a
d,o,h,u,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,o,h,u,a
v,b,k,y,k,$,COPY	v,b,k,y,k
v,b,k,y,k,$,V,PROG,SG,3,PRS	a,r,i,k,u,v,b,k,y,k
d,y,z,h,a,$,COPY	d,y,z,h,a
d,y,z,h,a,$,V,SG,3,HOD	a,d,y,z,h,a
a,o,n,h,a,$,COPY	a,o,n,h,a
a,o,n,h,a,$,V,SG,3,PST	a,k,a,a,o,n,h,a
s,o,n,b,a,$,COPY	s,o,n,b,a
s,o,n,b,a,$,V,SG,2,PST	w,a,k,a,s,o,n,b,a
a,o,n,h,w,$,COPY	a,o,n,h,w
a,o,n,h,w,$,V,PL,3,FUT	v,a,c,h,a,a,o,n,h,w
d,o,n,h,a,$,V,SG,2,FUT	u,c,h,a,d,o,n,h,a
d,s,t,a,a,$,COPY	d,s,t,a,a
d,s,t,a,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,d,s,t,a,a
p,z,s,h,s,$,COPY	p,z,s,h,s
p,z,s,h,s,$,V,PL,2,PRS	m,u,n,o,p,z,s,h,s
t,o,y,i,a,$,COPY	t,o,y,i,a
t,o,y,i,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,o,y,i,a
d,r,a,o,a,$,COPY	d,r,a,o,a
d,r,a,o,a,$,V,SG,1,HOD	n,d,a,d,r,a,o,a
e,f,f,z,n,$,COPY	e,f,f,z,n
e,f,f,z,n,$,V,SG,2,PRS	u,n,o,e,f,f,z,n
u,r,z,y,f,$,COPY	u,r,z,y,f
u,r,z,y,f,$,V,PL,3,FUT	v,a,c,h,a,u,r,z,y,f
u,r,a,y,a,$,V,PL,1,FUT	t,i,c,h,a,u,r,a,y,a
u,r,a,y,a,$,V,PL,1,HOD	t,a,u,r,a,y,a
z,m,a,g,a,$,COPY	z,m,a,g,a
z,m,a,g,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,z,m,a,g,a
u,o,a,a,t,$,COPY	u,o,a,a,t
u,o,a,a,t,$,V,PL,2,FUT	m,u,c,h,a,u,o,a,a,t
u,r,a,y,u,$,COPY	u,r,a,y,u
u,r,a,y,u,$,V,SG,1,FUT	n,d,i,c,h,a,u,r,a,y,u
u,r,i,y,a,$,COPY	u,r,i,y,a
u,r,i,y,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,u,r,i,y,a
u,r,a,y,u,$,V,PROG,SG,2,PRS	u,r,i,k,u,u,r,a,y,u
u,r,a,y,a,$,V,SG,3,HOD	a,u,r,a,y,a
u,r,a,p,m,$,COPY	u,r,a,p,m
u,r,a,p,m,$,V,SG,3,PST	a,k,a,u,r,a,p,m
u,b,g,y,a,$,COPY	u,b,g,y,a
u,b,g,y,a,$,V,SG,3,FUT	a,c,h,a,u,b,g,y,a
u,r,a,k,a,$,V,PL,2,PRS	m,u,n,o,u,r,a,k,a
z,r,a,y,p,$,COPY	z,r,a,y,p
z,r,a,y,p,$,V,SG,1,PST	n,d,a,k,a,z,r,a,y,p
o,r,y,h,a,$,COPY	o,r,y,h,a
o,r,y,h,a,$,V,PL,2,PST	m,a,k,a,o,r,y,h,a
u,r,a,y,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,u,r,a,y,a
u,r,r,y,a,$,COPY	u,r,r,y,a
u,r,r,y,a,$,V,SG,2,PST	w,a,k,a,u,r,r,y,a
u,r,a,y,a,$,V,SG,2,HOD	w,a,u,r,a,y,a
u,r,d,y,f,$,COPY	u,r,d,y,f
u,r,d,y,f,$,V,SG,2,FUT	u,c,h,a,u,r,d,y,f
k,r,a,d,s,$,COPY	k,r,a,d,s
k,r,a,d,s,$,V,PL,3,HOD	v,a,k,r,a,d,s
k,r,z,u,k,$,COPY	k,r,z,u,k
k,r,z,u,k,$,V,PL,3,PRS	v,a,n,o,k,r,z,u,k
u,h,a,y,n,$,COPY	u,h,a,y,n
u,h,a,y,n,$,V,PL,3,PST	v,a,k,a,u,h,a,y,n
u,r,m,y,y,$,COPY	u,r,m,y,y
u,r,m,y,y,$,V,SG,3,PRS	a,n,o,u,r,m,y,y
v,r,a,z,a,$,COPY	v,r,a,z,a
v,r,a,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,v,r,a,z,a
u,r,a,r,a,$,COPY	u,r,a,r,a
u,r,a,r,a,$,V,PL,2,HOD	m,a,u,r,a,r,a
u,w,a,y,a,$,COPY	u,w,a,y,a
u,w,a,y,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,u,w,a,y,a
i,r,a,y,a,$,COPY	i,r,a,y,a
i,r,a,y,a,$,V,PL,1,PST	t,a,k,a,i,r,a,y,a
u,b,c,h,z,$,COPY	u,b,c,h,z
u,b,c,h,z,$,V,PL,1,PRS	t,i,n,o,u,b,c,h,z
r,r,a,d,a,$,COPY	r,r,a,d,a
r,r,a,d,a,$,V,SG,1,PRS	n,d,i,n,o,r,r,a,d,a
p,f,r,n,d,$,COPY	p,f,r,n,d
p,f,r,n,d,$,V,SG,2,PRS	u,n,o,p,f,r,n,d
a,e,d,z,a,$,V,SG,2,FUT	u,c,h,a,a,e,d,z,a
p,t,d,z,a,$,V,PL,1,HOD	t,a,p,t,d,z,a
w,e,d,z,a,$,COPY	w,e,d,z,a
w,e,d,z,a,$,V,PL,1,FUT	t,i,c,h,a,w,e,d,z,a
r,e,n,z,d,$,COPY	r,e,n,z,d
r,e,n,z,d,$,V,SG,1,HOD	n,d,a,r,e,n,z,d
a,e,r,z,a,$,COPY	a,e,r,z,a
a,e,r,z,a,$,V,SG,1,PRS	n,d,i,n,o,a,e,r,z,a
h,e,d,u,a,$,COPY	h,e,d,u,a
h,e,d,u,a,$,V,PL,1,PRS	t,i,n,o,h,e,d,u,a
p,p,d,z,a,$,COPY	p,p,d,z,a
p,p,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,p,d,z,a
p,b,d,a,a,$,COPY	p,b,d,a,a
p,b,d,a,a,$,V,PL,1,PST	t,a,k,a,p,b,d,a,a
g,e,r,v,a,$,COPY	g,e,r,v,a
g,e,r,v,a,$,V,PL,3,FUT	v,a,c,h,a,g,e,r,v,a
p,e,d,b,s,$,COPY	p,e,d,b,s
p,e,d,b,s,$,V,PROG,SG,2,PRS	u,r,i,k,u,p,e,d,b,s
n,e,d,e,a,$,COPY	n,e,d,e,a
n,e,d,e,a,$,V,SG,3,HOD	a,n,e,d,e,a
p,e,d,z,f,$,COPY	p,e,d,z,f
p,e,d,z,f,$,V,PL,3,HOD	v,a,p,e,d,z,f
p,t,d,z,a,$,V,SG,2,PST	w,a,k,a,p,t,d,z,a
p,e,d,z,y,$,COPY	p,e,d,z,y
p,e,d,z,y,$,V,PROG,SG,3,PRS	a,r,i,k,u,p,e,d,z,y
p,i,d,z,t,$,COPY	p,i,d,z,t
p,i,d,z,t,$,V,SG,3,PST	a,k,a,p,i,d,z,t
p,e,k,s,a,$,COPY	p,e,k,s,a
p,e,k,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,p,e,k,s,a
p,e,d,i,a,$,COPY	p,e,d,i,a
p,e,d,i,a,$,V,PL,2,PRS	m,u,n,o,p,e,d,i,a
p,e,m,z,a,$,V,SG,2,HOD	w,a,p,e,m,z,a
p,e,d,r,a,$,COPY	p,e,d,r,a
p,e,d,r,a,$,V,PL,2,HOD	m,a,p,e,d,r,a
p,o,z,z,g,$,COPY	p,o,z,z,g
p,o,z,z,g,$,V,PL,3,PST	v,a,k,a,p,o,z,z,g
p,e,d,z,v,$,COPY	p,e,d,z,v
p,e,d,z,v,$,V,PL,3,PRS	v,a,n,o,p,e,d,z,v
p,a,d,b,p,$,COPY	p,a,d,b,p
p,a,d,b,p,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,a,d,b,p
p,k,d,z,n,$,COPY	p,k,d,z,n
p,k,d,z,n,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,k,d,z,n
p,v,m,z,i,$,COPY	p,v,m,z,i
p,v,m,z,i,$,V,PL,2,PST	m,a,k,a,p,v,m,z,i
p,h,d,k,a,$,COPY	p,h,d,k,a
p,h,d,k,a,$,V,PL,2,FUT	m,u,c,h,a,p,h,d,k,a
p,e,r,z,d,$,COPY	p,e,r,z,d
p,e,r,z,d,$,V,SG,3,PRS	a,n,o,p,e,r,z,d
o,y,d,f,a,$,COPY	o,y,d,f,a
o,y,d,f,a,$,V,SG,1,FUT	n,d,i,c,h,a,o,y,d,f,a
m,t,o,z,h,$,COPY	m,t,o,z,h
m,t,o,z,h,$,V,SG,1,PST	n,d,a,k,a,m,t,o,z,h
p,v,r,z,a,$,COPY	p,v,r,z,a
p,v,r,z,a,$,V,SG,3,FUT	a,c,h,a,p,v,r,z,a
t,a,g,p,i,a,$,COPY	t,a,g,p,i,a
t,a,g,p,i,a,$,V,PL,3,PRS	v,a,n,o,t,a,g,p,i,a
t,a,r,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,a,r,i,s,a
t,a,r,a,s,a,$,COPY	t,a,r,a,s,a
t,a,r,a,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,a,r,a,s,a
t,r,p,p,s,a,$,COPY	t,r,p,p,s,a
t,r,p,p,s,a,$,V,PL,3,HOD	v,a,t,r,p,p,s,a
t,a,v,o,z,a,$,COPY	t,a,v,o,z,a
t,a,v,o,z,a,$,V,PL,1,FUT	t,i,c,h,a,t,a,v,o,z,a
t,a,r,i,o,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,a,r,i,o,a
t,a,r,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,t,a,r,i,s,a
t,s,r,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,t,s,r,i,s,a
t,a,i,y,s,a,$,COPY	t,a,i,y,s,a
t,a,i,y,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,a,i,y,s,a
t,o,r,i,b,a,$,COPY	t,o,r,i,b,a
t,o,r,i,b,a,$,V,SG,2,PST	w,a,k,a,t,o,r,i,b,a
t,k,r,i,z,a,$,COPY	t,k,r,i,z,a
t,k,r,i,z,a,$,V,PL,1,HOD	t,a,t,k,r,i,z,a
t,a,r,h,n,a,$,COPY	t,a,r,h,n,a
t,a,r,h,n,a,$,V,SG,2,HOD	w,a,t,a,r,h,n,a
t,g,v,i,n,a,$,COPY	t,g,v,i,n,a
t,g,v,i,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,g,v,i,n,a
t,a,y,a,f,a,$,COPY	t,a,y,a,f,a
t,a,y,a,f,a,$,V,PL,2,HOD	m,a,t,a,y,a,f,a
t,a,r,t,s,a,$,COPY	t,a,r,t,s,a
t,a,r,t,s,a,$,V,SG,3,FUT	a,c,h,a,t,a,r,t,s,a
t,a,r,y,s,a,$,COPY	t,a,r,y,s,a
t,a,r,y,s,a,$,V,SG,2,FUT	u,c,h,a,t,a,r,y,s,a
t,b,r,i,o,a,$,COPY	t,b,r,i,o,a
t,b,r,i,o,a,$,V,SG,2,PRS	u,n,o,t,b,r,i,o,a
t,a,r,i,i,a,$,COPY	t,a,r,i,i,a
t,a,r,i,i,a,$,V,SG,3,PST	a,k,a,t,a,r,i,i,a
t,b,i,i,f,a,$,COPY	t,b,i,i,f,a
t,b,i,i,f,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,b,i,i,f,a
t,n,v,b,u,a,$,COPY	t,n,v,b,u,a
t,n,v,b,u,a,$,V,SG,3,HOD	a,t,n,v,b,u,a
t,a,r,i,e,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,a,r,i,e,a
t,a,r,i,s,o,$,COPY	t,a,r,i,s,o
t,a,r,i,s,o,$,V,PL,1,PST	t,a,k,a,t,a,r,i,s,o
t,o,z,i,k,a,$,COPY	t,o,z,i,k,a
t,o,z,i,k,a,$,V,PL,2,FUT	m,u,c,h,a,t,o,z,i,k,a
t,k,g,i,s,a,$,V,PL,2,PST	m,a,k,a,t,k,g,i,s,a
t,n,b,d,i,a,$,COPY	t,n,b,d,i,a
t,n,b,d,i,a,$,V,PL,3,PST	v,a,k,a,t,n,b,d,i,a
t,a,r,o,s,a,$,COPY	t,a,r,o,s,a
t,a,r,o,s,a,$,V,PL,2,PRS	m,u,n,o,t,a,r,o,s,a
t,a,f,p,u,a,$,COPY	t,a,f,p,u,a
t,a,f,p,u,a,$,V,SG,1,HOD	n,d,a,t,a,f,p,u,a
t,a,r,w,s,a,$,V,SG,1,PST	n,d,a,k,a,t,a,r,w,s,a
t,v,w,i,s,a,$,COPY	t,v,w,i,s,a
t,v,w,i,s,a,$,V,SG,3,PRS	a,n,o,t,v,w,i,s,a
t,e,r,o,y,i,$,COPY	t,e,r,o,y,i
t,e,r,o,y,i,$,V,PL,1,PRS	t,i,n,o,t,e,r,o,y,i
r,s,s,g,a,r,i,r,a,$,COPY	r,s,s,g,a,r,i,r,a
r,s,s,g,a,r,i,r,a,$,V,SG,3,FUT	a,c,h,a,r,s,s,g,a,r,i,r,a
r,d,s,y,s,r,g,r,a,$,COPY	r,d,s,y,s,r,g,r,a
r,d,s,y,s,r,g,r,a,$,V,PL,1,FUT	t,i,c,h,a,r,d,s,y,s,r,g,r,a
r,a,r,t,a,r,h,r,a,$,COPY	r,a,r,t,a,r,h,r,a
r,a,r,t,a,r,h,r,a,$,V,PL,2,PST	m,a,k,a,r,a,r,t,a,r,h,r,a
r,a,u,a,a,r,p,z,a,$,COPY	r,a,u,a,a,r,p,z,a
r,a,u,a,a,r,p,z,a,$,V,SG,2,PST	w,a,k,a,r,a,u,a,a,r,p,z,a
r,a,n,k,u,z,p,r,a,$,COPY	r,a,n,k,u,z,p,r,a
r,a,n,k,u,z,p,r,a,$,V,SG,3,PST	a,k,a,r,a,n,k,u,z,p,r,a
r,s,o,p,a,f,e,m,a,$,COPY	r,s,o,p,a,f,e,m,a
r,s,o,p,a,f,e,m,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,s,o,p,a,f,e,m,a
r,a,n,z,s,c,t,r,a,$,COPY	r,a,n,z,s,c,t,r,a
r,a,n,z,s,c,t,r,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,n,z,s,c,t,r,a
r,a,n,g,a,r,i,o,a,$,COPY	r,a,n,g,a,r,i,o,a
r,a,n,g,a,r,i,o,a,$,V,SG,1,PST	n,d,a,k,a,r,a,n,g,a,r,i,o,a
r,a,k,g,a,r,d,r,a,$,COPY	r,a,k,g,a,r,d,r,a
r,a,k,g,a,r,d,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,k,g,a,r,d,r,a
r,e,f,g,a,i,z,r,a,$,COPY	r,e,f,g,a,i,z,r,a
r,e,f,g,a,i,z,r,a,$,V,PL,2,HOD	m,a,r,e,f,g,a,i,z,r,a
r,z,r,g,a,i,i,n,a,$,COPY	r,z,r,g,a,i,i,n,a
r,z,r,g,a,i,i,n,a,$,V,SG,2,HOD	w,a,r,z,r,g,a,i,i,n,a
r,a,o,h,b,u,i,r,a,$,COPY	r,a,o,h,b,u,i,r,a
r,a,o,h,b,u,i,r,a,$,V,PL,1,PRS	t,i,n,o,r,a,o,h,b,u,i,r,a
r,s,b,b,a,i,d,r,a,$,COPY	r,s,b,b,a,i,d,r,a
r,s,b,b,a,i,d,r,a,$,V,PL,1,HOD	t,a,r,s,b,b,a,i,d,r,a
r,p,n,k,r,r,e,n,a,$,COPY	r,p,n,k,r,r,e,n,a
r,p,n,k,r,r,e,n,a,$,V,PL,3,HOD	v,a,r,p,n,k,r,r,e,n,a
r,i,n,g,a,r,i,m,a,$,COPY	r,i,n,g,a,r,i,m,a
r,i,n,g,a,r,i,m,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,i,n,g,a,r,i,m,a
r,b,n,r,y,f,i,z,a,$,COPY	r,b,n,r,y,f,i,z,a
r,b,n,r,y,f,i,z,a,$,V,SG,2,FUT	u,c,h,a,r,b,n,r,y,f,i,z,a
r,a,i,y,i,r,i,r,a,$,COPY	r,a,i,y,i,r,i,r,a
r,a,i,y,i,r,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,i,y,i,r,i,r,a
r,a,n,f,h,r,t,r,a,$,COPY	r,a,n,f,h,r,t,r,a
r,a,n,f,h,r,t,r,a,$,V,SG,3,HOD	a,r,a,n,f,h,r,t,r,a
